Wall time,Step,Value
1747181465.24463,4,3.0
1747181527.8736672,18,1.0
1747181635.1635323,40,3.0
1747181666.3265276,47,0.0
1747181746.4033341,62,2.0
1747181749.7692318,63,0.0
1747181782.7349567,71,1.0
1747181808.2935278,77,2.0
1747181828.697901,82,0.0
1747181854.586717,89,2.0
1747181887.1658053,103,1.0
1747181894.6646614,107,0.0
1747181924.7129405,121,0.0
1747181939.8378518,128,1.0
1747181945.2708101,130,3.0
1747182002.7916305,157,4.0
1747182012.1323018,160,3.0
1747182015.9879696,162,0.0
1747182020.8917313,164,0.0
1747182039.7913527,172,2.0
1747182084.4090319,191,2.0
1747182110.8201303,203,0.0
1747182115.6391237,205,1.0
1747182174.6087534,229,1.0
1747182207.0702996,244,2.0
1747182209.3736448,245,1.0
1747182247.0920007,259,0.0
1747182276.9657474,271,0.0
1747182284.766257,274,0.0
1747182306.019484,282,1.0
1747182313.7472084,285,0.0
1747182339.5762475,295,3.0
1747182392.4510467,316,1.0
1747182399.2891097,319,3.0
1747182407.2591298,322,4.0
1747182464.8661091,346,1.0
1747182499.125634,358,3.0
1747182516.5119832,364,2.0
1747182520.0507548,366,0.0
1747182551.5368605,378,1.0
1747182574.3275535,386,1.0
1747182586.087513,390,3.0
1747182617.994463,402,0.0
1747182649.6124802,415,2.0
1747182668.2479107,422,5.0
1747182700.7662234,436,2.0
1747182702.9210267,437,1.0
1747182708.2600632,439,3.0
1747182726.6951818,446,3.0
1747182765.1533573,461,4.0
1747182778.1429362,465,5.0
1747182803.1165733,475,1.0
1747182816.4583871,480,1.0
1747182818.8425722,481,2.0
1747182834.392104,487,1.0
1747182889.746108,510,2.0
1747182895.0708525,512,3.0
1747182899.44334,513,5.0
1747182911.300974,517,3.0
1747182949.7637646,533,0.0
1747182963.4450376,538,3.0
1747182967.2705333,540,0.0
1747182997.2960467,552,3.0
1747183007.2389212,556,0.0
1747183024.1850986,562,1.0
1747183090.5827096,590,3.0
1747183102.3249898,594,1.0
1747183107.3391774,596,0.0
1747183182.345789,628,6.0
1747183184.0122921,629,0.0
1747183204.2325747,637,1.0
1747183215.700128,643,1.0
1747183217.855427,644,1.0
1747183250.601531,658,4.0
1747183278.6868775,667,2.0
1747183300.783912,675,0.0
1747183351.030688,694,1.0
1747183419.4160504,721,4.0
1747183430.6993597,725,2.0
1747183478.0745482,744,0.0
1747183538.808958,764,5.0
1747183572.0482159,775,1.0
1747183575.0624595,776,3.0
1747183589.9984424,782,1.0
1747183611.685011,788,4.0
1747183662.4680462,804,2.0
1747183664.3942792,805,1.0
1747183672.3847728,807,6.0
1747183712.7568204,819,3.0
1747183753.2060335,832,3.0
1747183833.8483377,857,4.0
1747183859.7017431,866,3.0
1747183875.9965591,871,3.0
1747183917.5285509,886,2.0
1747183952.8668575,897,3.0
1747183966.69644,901,4.0
1747184060.549274,930,3.0
1747184097.9496155,942,2.0
1747184121.0823545,949,4.0
1747184278.4204752,999,3.0
1747184287.9312568,1002,2.0
1747184295.6353698,1004,3.0
1747184333.873199,1015,4.0
1747184356.887646,1022,5.0
1747184369.5064464,1026,1.0
1747184377.332913,1028,4.0
1747184405.5843017,1037,5.0
1747184469.339876,1056,4.0
1747184513.466372,1070,4.0
1747184516.724742,1071,4.0
