Wall time,Step,Value
1746875625.2470477,4,1.0
1746875640.9913926,18,1.0
1746875669.4290617,40,0.0
1746875676.7237093,47,1.0
1746875695.6996765,62,3.0
1746875697.2327356,63,2.0
1746875705.4022517,71,1.0
1746875712.6454453,77,2.0
1746875719.6706448,82,4.0
1746875729.47256,89,3.0
1746875744.8022928,103,1.0
1746875749.9486377,107,1.0
1746875766.5740047,121,0.0
1746875774.2234914,128,0.0
1746875776.052696,130,0.0
1746875808.1202054,157,0.0
1746875811.4431977,160,0.0
1746875814.1458735,162,3.0
1746875816.237364,164,1.0
1746875826.4770296,172,3.0
1746875850.7753234,191,1.0
1746875864.8827372,203,1.0
1746875867.8796377,205,2.0
1746875904.0009363,229,2.0
1746875923.6179943,244,2.0
1746875924.999621,245,2.0
1746875944.2417471,259,4.0
1746875960.9568295,271,0.0
1746875965.349438,274,4.0
1746875977.7733243,282,1.0
1746875981.5684915,285,2.0
1746875994.7158012,295,0.0
1746876024.7084198,316,2.0
1746876028.9607623,319,1.0
1746876032.7014205,322,2.0
1746876068.5438895,346,0.0
1746876088.015291,358,6.0
1746876097.8467624,364,2.0
1746876100.4969654,366,2.0
1746876118.8687637,378,1.0
1746876131.3703573,386,3.0
1746876138.779232,390,5.0
1746876156.4168706,402,0.0
1746876175.8432274,415,2.0
1746876188.1386588,422,1.0
1746876212.2156832,436,2.0
1746876213.2077396,437,0.0
1746876215.839014,439,2.0
1746876227.575847,446,2.0
1746876252.344745,461,1.0
1746876258.1034226,465,1.0
1746876274.5014918,475,0.0
1746876281.1338801,480,0.0
1746876283.083238,481,3.0
1746876291.7324011,487,1.0
1746876323.4180052,510,3.0
1746876327.826495,512,5.0
1746876329.8408582,513,4.0
1746876335.669145,517,1.0
1746876356.5970926,533,0.0
1746876365.8742077,538,3.0
1746876368.9993167,540,3.0
1746876390.4627001,552,7.0
1746876398.5299556,556,3.0
1746876406.3472366,562,0.0
1746876460.432042,590,1.0
1746876469.025476,594,5.0
1746876472.8160062,596,2.0
1746876528.589379,628,3.0
1746876529.9094129,629,1.0
1746876544.3972518,637,4.0
1746876553.8208485,643,0.0
1746876554.8556154,644,0.0
1746876575.4121244,658,1.0
1746876592.9910295,667,8.0
1746876605.6907518,675,0.0
1746876642.338654,694,6.0
1746876694.5762348,721,1.0
1746876702.1315289,725,4.0
1746876737.2934194,744,1.0
1746876774.2892964,764,1.0
1746876794.514399,775,3.0
1746876795.5259728,776,0.0
1746876807.5779338,782,2.0
1746876817.6824498,788,2.0
1746876849.5690362,804,2.0
1746876850.974608,805,2.0
1746876855.8945546,807,5.0
1746876878.9406514,819,3.0
1746876900.6651227,832,2.0
1746876945.8458438,857,6.0
1746876962.3592472,866,1.0
1746876971.6169686,871,5.0
1746876997.7657866,886,0.0
1746877019.6992915,897,0.0
1746877028.3325303,901,5.0
1746877088.940427,930,2.0
1746877109.0719357,942,5.0
1746877121.0920415,949,2.0
1746877223.1806474,999,5.0
1746877229.521896,1002,6.0
1746877232.8933241,1004,2.0
1746877258.9714246,1015,3.0
1746877273.9498932,1022,7.0
1746877283.0830462,1026,9.0
1746877286.5193105,1028,0.0
1746877306.699475,1037,3.0
1746877347.3099844,1056,2.0
1746877376.2656066,1070,3.0
1746877378.699199,1071,5.0
1746877382.798546,1073,1.0
1746877391.630084,1077,5.0
1746877409.1211958,1086,3.0
1746877433.3593552,1098,4.0
1746877443.3247745,1102,4.0
1746877445.7378247,1104,1.0
1746877457.358951,1109,6.0
1746877462.2239575,1111,7.0
1746877485.227957,1121,6.0
1746877494.5363162,1125,1.0
1746877509.6857288,1132,6.0
1746877514.678992,1134,3.0
1746877545.197058,1146,0.0
1746877556.0039613,1151,6.0
1746877558.6402903,1152,6.0
1746877587.6439924,1164,11.0
1746877613.3216054,1174,4.0
1746877616.245885,1176,1.0
1746877633.4995003,1184,3.0
1746877652.5581973,1193,3.0
1746877654.3753314,1194,3.0
1746877709.3067377,1218,4.0
1746877724.7911842,1225,3.0
1746877778.1923757,1246,4.0
1746877788.746732,1251,4.0
1746877791.937573,1252,7.0
1746877796.9381742,1254,6.0
1746877804.8804195,1257,3.0
1746877815.0389454,1261,5.0
1746877826.9408271,1267,1.0
1746877838.4008272,1271,5.0
1746877850.2629278,1276,7.0
1746877899.680555,1298,4.0
1746877918.9604905,1306,5.0
1746877961.6182067,1322,2.0
1746877969.1394253,1325,5.0
1746878019.4914696,1345,3.0
1746878054.275277,1360,4.0
1746878064.290529,1364,5.0
1746878094.5864758,1375,3.0
1746878095.5656652,1376,0.0
1746878207.1263363,1417,6.0
1746878260.0844011,1438,1.0
1746878262.5582144,1439,5.0
1746878309.1902182,1457,5.0
1746878311.887335,1458,5.0
1746878354.6249952,1474,5.0
1746878357.155648,1476,1.0
1746878392.0271773,1490,4.0
1746878402.787389,1494,6.0
1746878425.622661,1502,6.0
1746878445.3495767,1510,3.0
1746878452.6044168,1513,7.0
