Wall time,Step,Value
1747077081.671534,498,0.0013514633756130934
1747077083.8291614,691,0.0018777409568428993
1747077089.1866322,1165,0.011089648120105267
1747077098.3066468,1973,0.0021663731895387173
1747077098.5582674,1993,0.004341103136539459
1747077106.9447162,2726,0.004495610948652029
1747077123.08742,4154,0.021951640024781227
1747077123.7454162,4214,0.006987857632339001
1747077136.0451627,5295,0.0023916373029351234
1747077136.4700866,5328,0.003055753419175744
1747077138.2221189,5487,0.005813040304929018
1747077142.534942,5865,0.0030514830723404884
1747077142.9057517,5899,0.0015481295995414257
1747077144.4330676,6030,0.0037723230198025703
1747077145.055462,6086,0.0023292340338230133
1747077147.6054068,6312,0.0017417673952877522
1747077148.3145866,6367,0.0021793481428176165
1747077152.8720424,6763,0.0025076742749661207
1747077154.2208955,6883,0.0061524841003119946
1747077155.829794,7024,0.00891057588160038
1747077160.850965,7469,0.004087613429874182
1747077161.1580842,7497,0.00819486752152443
1747077163.1993523,7677,0.0028991790022701025
1747077170.7979915,8324,0.0016389944357797503
1747077173.837149,8587,0.004328705370426178
1747077175.4970496,8727,0.0026741507463157177
1747077180.7212422,9185,0.0029891410376876593
1747077181.8722837,9285,0.0016820091987028718
1747077182.3113887,9324,0.0008458045776933432
1747077187.1245325,9745,0.0015263886889442801
1747077187.606072,9786,0.0025504801888018847
1747077188.5489233,9870,0.0020584994927048683
1747077189.1894708,9927,0.01750466600060463
1747077189.4616914,9950,0.0021768969018012285
1747077189.8159177,9982,0.001774387201294303
1747077190.1533427,10012,0.00307381059974432
1747077192.652445,10224,0.0037235249765217304
1747077195.5520272,10478,0.004119402728974819
1747077197.8436217,10678,0.00378894479945302
1747077202.3473155,11056,0.0016779431607574224
1747077203.4881217,11151,0.0014880853705108166
1747077211.8277674,11852,0.003851847490295768
1747077214.1691628,12060,0.004880120977759361
1747077217.9437175,12387,0.0028730183839797974
1747077219.287039,12509,0.012878453359007835
1747077224.219948,12938,0.0020510656759142876
1747077228.8185773,13337,0.003787744091823697
1747077229.7749453,13421,0.004862252622842789
1747077231.3138554,13555,0.0015172242419794202
1747077234.5799046,13835,0.007310761604458094
1747077236.505489,14004,0.008471977896988392
1747077244.218759,14678,0.0018764031119644642
1747077246.6433275,14884,0.0027160272002220154
1747077252.5953894,15404,0.002495546592399478
1747077262.5618966,16274,0.006958408281207085
1747077269.787048,16899,0.004594616591930389
1747077269.980536,16916,0.0022107786498963833
1747077284.206966,18154,0.001215045340359211
1747077288.3426259,18514,0.002186782658100128
1747077296.8130608,19242,0.011010484769940376
1747077298.1135888,19352,0.004627392627298832
1747077298.7685952,19410,0.0029345096554607153
1747077300.2095575,19534,0.006804979871958494
1747077300.7088194,19579,0.004602575208991766
1747077301.5708735,19650,0.003809787565842271
1747077313.2249563,20651,0.001507913926616311
1747077315.8151662,20874,0.0030278870835900307
1747077320.8474205,21300,0.01068941131234169
1747077331.3269312,22195,0.002623095875605941
1747077337.4616344,22735,0.0012752378825098276
1747077346.870855,23533,0.0021248299162834883
1747077358.120741,24502,0.002797404071316123
1747077361.483231,24791,0.004029963165521622
1747077363.5892727,24971,0.0014338407199829817
1747077364.183872,25024,0.0013509661657735705
1747077369.459112,25477,0.0013701110146939754
1747077371.962271,25682,0.016788559034466743
1747077375.2459772,25962,0.0007748338393867016
1747077383.5661933,26679,0.04440224543213844
1747077391.1714985,27341,0.0011111185885965824
1747077398.0888565,27927,0.0012554172426462173
1747077399.3630285,28039,0.0018029073253273964
1747077414.7535436,29343,0.0012155643198639154
1747077416.8316736,29523,0.0007878136239014566
