Wall time,Step,Value
1747077077.5160816,0,0.0
1747077079.113003,1,0.0
1747077081.3114893,2,1.0
1747077085.1682024,3,4.0
1747077086.8765748,4,0.0
1747077088.564165,5,0.0
1747077091.5488029,6,4.0
1747077093.9620094,7,2.0
1747077096.011005,8,1.0
1747077098.4875102,9,2.0
1747077100.2520213,10,0.0
1747077102.1524386,11,1.0
1747077104.9548187,12,2.0
1747077106.683461,13,0.0
1747077108.7307339,14,1.0
1747077111.0232565,15,2.0
1747077114.8365707,16,5.0
1747077116.9632595,17,1.0
1747077118.3531394,18,0.0
1747077119.988645,19,0.0
1747077122.5995753,20,2.0
1747077125.241232,21,3.0
1747077127.7462409,22,2.0
1747077130.6882899,23,3.0
1747077133.0319269,24,2.0
1747077134.877981,25,0.0
1747077139.0648105,26,5.0
1747077141.5972676,27,2.0
1747077144.133858,28,2.0
1747077146.6456509,29,2.0
1747077149.4112906,30,3.0
1747077150.8986816,31,0.0
1747077153.9476943,32,3.0
1747077156.7533631,33,3.0
1747077160.7586296,34,5.0
1747077163.4758759,35,2.0
1747077165.001615,36,0.0
1747077167.1093335,37,1.0
1747077168.6183698,38,0.0
1747077170.1310453,39,0.0
1747077171.6525521,40,0.0
1747077173.1967838,41,0.0
1747077176.3314784,42,3.0
1747077178.6865087,43,2.0
1747077180.2418988,44,0.0
1747077181.9367707,45,0.0
1747077183.6002376,46,0.0
1747077187.2109423,47,5.0
1747077189.2213979,48,1.0
1747077190.8631163,49,0.0
1747077193.2257216,50,2.0
1747077194.7555382,51,0.0
1747077196.5911493,52,1.0
1747077198.2304056,53,0.0
1747077199.7853827,54,0.0
1747077201.4963398,55,0.0
1747077203.0968812,56,0.0
1747077204.9946022,57,1.0
1747077207.3157704,58,1.0
1747077208.829689,59,0.0
1747077210.6966949,60,1.0
1747077213.6295125,61,3.0
1747077215.1536112,62,0.0
1747077219.811405,63,10.0
1747077221.5918632,64,0.0
1747077223.3790991,65,0.0
1747077225.5566282,66,1.0
1747077227.3040657,67,0.0
1747077229.3204393,68,1.0
1747077231.246578,69,1.0
1747077232.933879,70,0.0
1747077234.3194845,71,0.0
1747077236.109615,72,0.0
1747077238.5388389,73,2.0
1747077240.1942673,74,0.0
1747077241.9735923,75,1.0
1747077243.6201818,76,0.0
1747077245.9309459,77,2.0
1747077248.0494103,78,1.0
1747077250.2774556,79,1.0
1747077254.2051249,80,6.0
1747077255.868527,81,0.0
1747077257.673569,82,0.0
1747077259.7170084,83,1.0
1747077261.229984,84,0.0
1747077264.2613883,85,3.0
1747077266.3052695,86,1.0
1747077267.8902123,87,0.0
1747077270.474017,88,2.0
1747077273.969569,89,4.0
1747077275.4619262,90,0.0
1747077277.3653753,91,1.0
1747077279.3953967,92,1.0
1747077281.802166,93,2.0
1747077283.619446,94,1.0
1747077285.2571118,95,0.0
1747077287.187093,96,1.0
1747077289.3430858,97,1.0
1747077291.4058306,98,1.0
1747077293.2573884,99,1.0
1747077295.7216954,100,2.0
1747077297.8637326,101,1.0
1747077299.54271,102,0.0
1747077301.926169,103,2.0
1747077303.7781882,104,1.0
1747077305.6797826,105,1.0
1747077307.2874115,106,0.0
1747077308.9162254,107,0.0
1747077310.9530506,108,1.0
1747077312.6637435,109,0.0
1747077314.2348304,110,0.0
1747077315.9209669,111,0.0
1747077317.5069325,112,0.0
1747077319.0747876,113,0.0
1747077320.6100185,114,0.0
1747077322.1956897,115,0.0
1747077324.2058215,116,1.0
1747077325.743168,117,0.0
1747077327.6980493,118,1.0
1747077329.3083053,119,0.0
1747077330.872375,120,0.0
1747077332.9672258,121,1.0
1747077336.095726,122,3.0
1747077337.6773667,123,0.0
1747077339.386468,124,0.0
1747077341.0617197,125,0.0
1747077343.006958,126,1.0
1747077344.9193578,127,1.0
1747077346.4038458,128,0.0
1747077347.8900003,129,0.0
1747077349.599036,130,0.0
1747077351.1564991,131,0.0
1747077353.2132313,132,1.0
1747077356.3613775,133,3.0
1747077357.927399,134,0.0
1747077359.5358994,135,0.0
1747077361.9471319,136,2.0
1747077363.4954531,137,0.0
1747077365.501739,138,1.0
1747077367.089352,139,0.0
1747077368.6124659,140,0.0
1747077370.2372413,141,0.0
1747077371.8323832,142,0.0
1747077373.3067617,143,0.0
1747077374.8388505,144,0.0
1747077376.913757,145,1.0
1747077379.4315515,146,2.0
1747077382.0779738,147,2.0
1747077384.141998,148,1.0
1747077385.697557,149,0.0
1747077388.3373244,150,2.0
1747077391.403089,151,3.0
1747077394.899158,152,4.0
1747077396.4465752,153,0.0
1747077397.9904387,154,0.0
1747077399.4584794,155,0.0
1747077400.9794245,156,0.0
1747077403.9056284,157,3.0
1747077406.5253263,158,2.0
1747077409.1568835,159,2.0
1747077410.8198102,160,0.0
1747077412.846258,161,1.0
1747077414.3930264,162,0.0
1747077416.0945332,163,0.0
1747077417.6317682,164,0.0
1747077419.316687,165,0.0
1747077422.527515,166,3.0
1747077424.0575345,167,0.0
1747077425.5802824,168,0.0
1747077427.1654701,169,0.0
1747077430.1145058,170,3.0
1747077433.6982684,171,4.0
1747077435.5573618,172,1.0
1747077437.551301,173,1.0
1747077439.6225884,174,1.0
1747077441.1418433,175,0.0
1747077443.4083652,176,1.0
1747077445.6322258,177,1.0
1747077447.3164847,178,0.0
