Wall time,Step,Value
1747091250.1069272,0,0.0
1747091251.7722926,1,0.0
1747091253.35866,2,0.0
1747091255.944098,3,2.0
1747091258.1131408,4,1.0
1747091260.257708,5,1.0
1747091262.5253747,6,1.0
1747091264.145814,7,0.0
1747091265.7749472,8,0.0
1747091267.6667902,9,0.0
1747091270.042417,10,1.0
1747091273.3326023,11,3.0
1747091276.2051125,12,2.0
1747091279.247027,13,3.0
1747091283.1395946,14,4.0
1747091287.3310685,15,5.0
1747091290.1272235,16,3.0
1747091292.2755463,17,1.0
1747091295.479755,18,3.0
1747091297.3672187,19,0.0
1747091299.8798077,20,2.0
1747091301.893097,21,1.0
1747091304.9139986,22,3.0
1747091306.8045397,23,0.0
1747091309.7863493,24,2.0
1747091311.8611395,25,0.0
1747091314.0212197,26,1.0
1747091316.89358,27,2.0
1747091318.8259418,28,0.0
1747091320.9308522,29,1.0
1747091322.6042879,30,0.0
1747091324.7572122,31,1.0
1747091327.1859853,32,1.0
1747091331.2664824,33,4.0
1747091332.9886703,34,0.0
1747091335.9359627,35,2.0
1747091338.4990904,36,1.0
1747091341.0140445,37,2.0
1747091343.6626668,38,2.0
1747091346.3138573,39,2.0
1747091348.147714,40,0.0
1747091350.4856794,41,1.0
1747091352.066519,42,0.0
1747091353.7953196,43,0.0
1747091356.286475,44,2.0
1747091358.1356683,45,0.0
1747091360.5416028,46,2.0
1747091362.7782774,47,1.0
1747091365.0349405,48,1.0
1747091366.6044226,49,0.0
1747091368.1833255,50,0.0
1747091369.8231485,51,0.0
1747091371.9483511,52,1.0
1747091374.9986897,53,3.0
1747091376.7871842,54,0.0
1747091378.8055644,55,1.0
1747091380.406842,56,0.0
1747091382.915524,57,2.0
1747091384.6807046,58,0.0
1747091386.3709602,59,0.0
1747091389.1156204,60,2.0
1747091391.4405003,61,1.0
1747091394.1794949,62,2.0
1747091395.7223258,63,0.0
1747091398.146973,64,1.0
1747091399.912245,65,0.0
1747091401.896331,66,1.0
1747091403.7704568,67,0.0
1747091405.4905908,68,0.0
1747091408.0188506,69,2.0
1747091410.305429,70,1.0
1747091411.8889198,71,0.0
1747091413.5156138,72,0.0
1747091415.703267,73,1.0
1747091418.1151764,74,1.0
1747091419.8088152,75,0.0
1747091421.3869443,76,0.0
1747091423.3089201,77,1.0
1747091426.638101,78,3.0
1747091428.3433375,79,0.0
1747091430.5103915,80,1.0
1747091432.7808702,81,1.0
1747091435.1013653,82,1.0
1747091438.4790797,83,4.0
