Wall time,Step,Value
1747086667.0005236,0,2.0
1747086670.0630426,1,3.0
1747086672.493738,2,2.0
1747086675.5958858,3,4.0
1747086677.1820173,4,0.0
1747086679.3288894,5,1.0
1747086681.5033095,6,1.0
1747086683.7811353,7,1.0
1747086685.3288667,8,0.0
1747086687.1766636,9,1.0
1747086689.7870188,10,2.0
1747086691.7656455,11,1.0
1747086693.7821732,12,1.0
1747086697.0624807,13,4.0
1747086699.0699022,14,1.0
1747086701.0877073,15,0.0
1747086703.465903,16,1.0
1747086705.9324222,17,2.0
1747086707.960811,18,1.0
1747086710.0453,19,1.0
1747086711.6381145,20,0.0
1747086713.4007864,21,0.0
1747086716.1355686,22,2.0
1747086717.73212,23,0.0
1747086719.436008,24,0.0
1747086723.110446,25,4.0
1747086725.2256064,26,1.0
1747086729.0544655,27,2.0
1747086732.088654,28,0.0
1747086734.5482266,29,1.0
1747086736.8902693,30,2.0
1747086738.5763037,31,0.0
1747086740.431906,32,1.0
1747086742.3710334,33,1.0
1747086744.1537225,34,1.0
1747086747.7523096,35,4.0
1747086750.3168097,36,2.0
1747086752.265728,37,1.0
1747086754.2877216,38,1.0
1747086756.3229718,39,1.0
1747086757.930639,40,0.0
1747086759.7020447,41,0.0
1747086761.4363363,42,0.0
1747086763.0026846,43,0.0
1747086765.4102957,44,1.0
1747086767.0785472,45,0.0
1747086769.9027507,46,2.0
1747086772.1654172,47,2.0
1747086775.1754987,48,3.0
1747086776.7145474,49,0.0
1747086778.623119,50,0.0
1747086781.3006043,51,2.0
1747086783.903468,52,2.0
1747086785.9925508,53,1.0
1747086787.6793132,54,0.0
1747086789.4970741,55,0.0
1747086791.7767267,56,1.0
1747086794.2286355,57,2.0
1747086796.4063852,58,1.0
1747086798.55125,59,1.0
1747086801.0510733,60,2.0
1747086802.6929514,61,0.0
1747086804.412962,62,0.0
1747086806.7246025,63,2.0
1747086808.6499844,64,1.0
1747086810.8340106,65,1.0
1747086812.3098452,66,0.0
1747086815.640074,67,4.0
1747086817.0832253,68,0.0
1747086818.9797666,69,1.0
1747086822.5434945,70,5.0
1747086824.7890153,71,1.0
1747086826.5049875,72,0.0
1747086828.650038,73,1.0
1747086831.7014325,74,3.0
1747086833.4798243,75,0.0
1747086835.3621857,76,0.0
1747086836.9319737,77,0.0
1747086839.5464556,78,2.0
1747086841.2255595,79,0.0
1747086842.9339461,80,0.0
1747086844.8705776,81,0.0
1747086846.5222602,82,0.0
1747086848.383376,83,1.0
1747086850.0259633,84,0.0
1747086851.8058617,85,1.0
1747086854.1048307,86,1.0
1747086855.7338417,87,0.0
1747086857.391455,88,0.0
1747086859.086593,89,0.0
1747086860.751023,90,0.0
1747086862.3229623,91,0.0
1747086863.9552991,92,0.0
1747086866.6392934,93,1.0
1747086870.8679135,94,5.0
1747086872.635423,95,0.0
1747086875.7964923,96,3.0
1747086877.3936002,97,0.0
1747086879.9050553,98,2.0
1747086882.2954204,99,1.0
1747086885.2896957,100,3.0
1747086887.9915676,101,2.0
1747086889.743216,102,0.0
1747086891.8231127,103,1.0
1747086894.8676414,104,3.0
1747086896.4946177,105,0.0
1747086900.0031774,106,4.0
1747086902.2031307,107,1.0
1747086903.8873534,108,0.0
1747086905.4638848,109,0.0
1747086907.4547675,110,1.0
1747086909.7775993,111,2.0
1747086911.9765654,112,1.0
1747086913.6573794,113,0.0
1747086915.6136515,114,0.0
1747086917.5757713,115,1.0
1747086920.1083097,116,2.0
1747086922.3725786,117,1.0
1747086924.7232473,118,2.0
1747086926.6469135,119,0.0
1747086928.650708,120,1.0
1747086931.0813828,121,1.0
1747086933.599375,122,2.0
1747086935.91,123,1.0
1747086939.0274444,124,3.0
1747086941.53937,125,2.0
1747086943.6915324,126,2.0
1747086945.6956236,127,1.0
1747086948.6233456,128,1.0
1747086951.155331,129,2.0
1747086952.8242087,130,0.0
1747086955.056976,131,2.0
1747086957.8750951,132,3.0
1747086960.7177906,133,3.0
1747086962.9599605,134,2.0
1747086965.0397084,135,1.0
1747086967.2630763,136,2.0
1747086969.3441262,137,1.0
1747086971.2132843,138,1.0
1747086973.749207,139,2.0
1747086976.041797,140,2.0
1747086978.4521418,141,2.0
1747086980.0771153,142,0.0
1747086983.66297,143,4.0
1747086986.7636795,144,2.0
