Wall time,Step,Value
1747071089.912479,0,0.0
1747071092.7582784,1,0.0
1747071095.6481912,2,0.0
1747071100.7965636,3,2.0
1747071104.9135516,4,1.0
1747071108.0248446,5,0.0
1747071111.2007465,6,0.0
1747071116.1658576,7,3.0
1747071119.6602442,8,0.0
1747071129.3310456,9,6.0
1747071132.0914693,10,0.0
1747071136.035655,11,1.0
1747071139.8302562,12,1.0
1747071142.5403423,13,0.0
1747071147.1401343,14,2.0
1747071151.3986657,15,2.0
1747071155.3991256,16,1.0
1747071161.1257372,17,3.0
1747071163.992643,18,0.0
1747071167.6773329,19,1.0
1747071170.7222822,20,0.0
1747071176.2603528,21,3.0
1747071179.891473,22,1.0
1747071183.6975021,23,1.0
1747071188.8902214,24,2.0
1747071193.3993087,25,2.0
1747071197.417675,26,1.0
1747071201.6887138,27,2.0
1747071204.4665723,28,0.0
1747071207.2895718,29,0.0
1747071211.891566,30,2.0
1747071214.9459095,31,0.0
1747071218.1343153,32,0.0
1747071222.4843686,33,1.0
1747071225.7594876,34,0.0
1747071228.7835932,35,0.0
1747071232.4263394,36,1.0
1747071235.338227,37,0.0
1747071238.4914598,38,0.0
1747071242.6492548,39,1.0
1747071246.2077134,40,1.0
1747071250.1081283,41,1.0
1747071254.5652614,42,2.0
1747071258.5507207,43,1.0
1747071261.5339658,44,0.0
1747071264.6323009,45,0.0
1747071269.2226977,46,2.0
1747071274.2782662,47,2.0
1747071277.5069654,48,0.0
1747071280.4062226,49,0.0
1747071285.1001484,50,2.0
1747071287.3317585,51,0.0
1747071290.036373,52,0.0
1747071292.8506975,53,0.0
1747071296.9022262,54,1.0
1747071301.9353316,55,2.0
1747071304.8505723,56,0.0
1747071308.7157085,57,1.0
1747071313.4140944,58,2.0
1747071318.069061,59,2.0
1747071320.9974887,60,0.0
1747071325.7222526,61,2.0
1747071330.9901776,62,2.0
1747071334.0254126,63,0.0
1747071340.0778816,64,3.0
1747071342.9207191,65,0.0
1747071345.99754,66,0.0
1747071349.625587,67,1.0
1747071352.5897844,68,0.0
1747071359.4814446,69,4.0
1747071363.9484704,70,2.0
1747071366.9677815,71,0.0
1747071369.7084956,72,0.0
1747071373.3244689,73,1.0
1747071376.085808,74,0.0
1747071379.0830443,75,0.0
1747071384.421518,76,2.0
1747071388.0898864,77,1.0
1747071393.4727745,78,3.0
1747071396.2954578,79,0.0
1747071401.2258735,80,2.0
1747071403.8696437,81,0.0
1747071407.6808367,82,1.0
1747071411.3712547,83,1.0
1747071415.213662,84,1.0
1747071419.224636,85,1.0
1747071424.4697988,86,3.0
1747071427.506373,87,0.0
1747071432.081531,88,2.0
1747071436.0518858,89,1.0
1747071439.8237436,90,1.0
1747071442.6839561,91,0.0
1747071446.366719,92,1.0
1747071449.1425853,93,0.0
1747071453.1696894,94,1.0
1747071456.296732,95,0.0
1747071459.1886318,96,0.0
1747071462.144465,97,0.0
1747071467.0609584,98,2.0
1747071470.8019807,99,1.0
